employee_id,age,gender,marital_status,salary,employment_type,region,has_dependents,tenure_years,enrolled
E00149,49,Female,Divorced,26133,Full-time,East,1,1.6,0
E00150,21,Female,Single,26072,Full-time,South,0,3.1,0
E00151,47,Female,Single,61012,Full-time,East,1,5.2,0
E00152,54,Male,Single,26195,Full-time,Central,0,3.5,0
E00153,40,Male,Married,58330,Full-time,South,0,0.3,1
E00154,56,Male,Married,54162,Full-time,South,0,0.1,0
E00155,62,Female,Single,43048,Full-time,West,0,2.5,0
E00156,32,Male,Single,20000,Full-time,East,0,0.7,0
E00157,60,Female,Single,53026,Part-time,West,0,12.4,0
E00158,46,Male,Married,57677,Full-time,West,1,0.0,0
E00159,53,Female,Single,41658,Contract,South,0,4.1,0
E00160,30,Female,Divorced,33620,Full-time,West,1,0.1,0
E00161,49,Male,Single,54400,Full-time,West,1,2.8,0
E00162,24,Female,Single,28216,Full-time,South,0,1.6,0
E00163,39,Male,Single,59252,Part-time,South,1,3.0,0
E00164,45,Female,Married,65837,Full-time,North,0,4.3,0
E00165,19,Male,Married,20597,Full-time,East,1,0.1,0
E00166,59,Male,Widowed,42077,Full-time,North,1,2.2,0
E00167,62,Female,Single,49268,Full-time,South,1,8.6,1
E00168,23,Female,Single,49709,Contract,Central,1,0.7,0
E00169,45,Male,Married,36815,Full-time,West,0,0.2,0
E00170,45,Female,Married,29956,Part-time,West,0,4.4,0
E00171,61,Male,Married,43097,Part-time,South,0,4.1,0
E00172,61,Male,Single,59661,Full-time,West,0,1.5,0
E00173,37,Female,Single,58557,Contract,North,1,5.3,0
E00174,47,Male,Single,58740,Full-time,West,0,2.4,0
E00175,28,Male,Married,68764,Full-time,Central,0,1.9,0
E00176,45,Female,Married,34289,Full-time,East,1,5.2,1
E00177,42,Male,Married,44330,Part-time,North,0,0.3,0
E00178,56,Female,Single,47227,Contract,East,1,0.8,0
E00179,50,Male,Married,20000,Full-time,East,0,1.8,0
E00180,18,Male,Married,53363,Contract,Central,0,0.3,1
E00181,44,Male,Single,49555,Contract,Central,0,16.5,0
E00182,30,Female,Widowed,32954,Full-time,Central,0,1.1,0
E00183,58,Female,Married,63069,Full-time,Central,0,8.9,1
E00184,20,Male,Married,62121,Full-time,North,0,1.9,0
E00185,56,Male,Married,55997,Part-time,Central,1,7.8,1
E00186,23,Female,Single,24367,Full-time,North,1,1.7,0
E00187,25,Male,Married,35404,Part-time,West,1,5.1,1
E00188,44,Female,Divorced,54560,Contract,East,0,4.2,0
E00189,26,Male,Single,41945,Part-time,West,0,8.8,0
E00190,54,Female,Married,46537,Part-time,West,0,3.0,0
E00191,50,Male,Married,33482,Contract,South,1,0.8,1
E00192,59,Female,Single,52878,Part-time,West,1,2.3,1
E00193,61,Female,Single,72571,Full-time,West,0,0.5,0
E00194,41,Male,Single,54856,Full-time,South,1,1.2,1
E00195,32,Male,Married,64568,Full-time,West,0,4.7,1
E00196,49,Female,Married,63164,Full-time,South,0,0.0,1
E00197,49,Female,Married,44627,Full-time,North,1,2.9,0
E00198,41,Male,Single,47216,Full-time,East,0,3.5,0
E00199,58,Male,Married,72060,Part-time,Central,1,6.9,0
E00200,29,Female,Married,60988,Full-time,West,1,4.2,1
E00201,56,Male,Single,64413,Part-time,North,0,1.5,1
E00202,19,Female,Married,52499,Part-time,East,1,4.4,1
E00203,20,Male,Married,44120,Contract,North,0,2.9,0
E00204,54,Female,Single,45946,Full-time,South,0,2.7,0
E00205,34,Female,Single,70659,Full-time,North,0,0.2,0
E00206,19,Other,Married,49987,Part-time,West,0,2.3,1
E00207,19,Male,Married,68714,Full-time,West,0,6.1,0
E00208,45,Female,Divorced,71077,Part-time,Central,1,1.7,0
E00209,40,Male,Married,63809,Intern,Central,0,3.7,0
E00210,54,Female,Single,62054,Full-time,West,0,7.0,0
E00211,49,Female,Single,75453,Full-time,North,0,2.3,1
E00212,50,Male,Married,37315,Full-time,West,0,0.3,1
E00213,18,Female,Single,43815,Contract,North,1,0.2,0
E00214,36,Male,Married,31109,Full-time,West,1,4.8,1
E00215,19,Female,Single,27538,Full-time,East,1,0.1,0
E00216,61,Female,Single,49335,Full-time,North,0,20.5,1
E00217,43,Female,Single,54028,Part-time,South,1,0.4,0
E00218,49,Male,Single,57580,Part-time,South,0,4.5,0
E00219,23,Male,Married,39540,Full-time,Central,0,6.1,1
E00220,49,Female,Single,43804,Full-time,East,1,1.1,0
E00221,21,Male,Divorced,62701,Full-time,South,1,2.3,0
E00222,28,Male,Married,28092,Part-time,West,0,9.1,0
E00223,34,Male,Married,50190,Full-time,South,1,9.3,1
E00224,55,Male,Married,69589,Full-time,West,1,8.0,0
E00225,41,Female,Married,46015,Part-time,East,0,1.0,0
E00226,22,Male,Single,43682,Contract,Central,0,0.2,0
E00227,51,Female,Widowed,68642,Full-time,South,0,0.3,0
E00228,23,Male,Married,28793,Full-time,Central,0,0.5,0
E00229,39,Male,Single,37939,Full-time,East,1,3.3,0
E00230,28,Male,Married,38515,Full-time,North,1,4.9,0
E00231,33,Male,Married,60413,Part-time,East,0,0.2,0
E00232,50,Male,Single,25939,Full-time,East,0,6.6,0
E00233,26,Female,Divorced,68504,Contract,East,1,4.1,1
E00234,23,Male,Single,49600,Full-time,North,1,2.3,1
E00235,33,Male,Married,65686,Full-time,North,1,13.8,0
E00236,46,Male,Widowed,68612,Part-time,East,1,0.9,1
E00237,20,Male,Single,38216,Full-time,North,0,0.7,1
E00238,37,Female,Single,50275,Full-time,West,0,1.2,0
E00239,53,Female,Single,46578,Intern,East,0,2.2,1
E00240,36,Male,Single,49018,Part-time,South,1,1.5,0
E00241,43,Male,Single,41456,Contract,West,1,5.3,1
E00242,20,Other,Married,66712,Full-time,East,0,6.7,1
E00243,36,Male,Married,47209,Full-time,South,0,10.2,0
E00244,37,Female,Married,44988,Intern,South,1,5.1,0
E00245,49,Male,Single,66853,Full-time,Central,0,2.8,0
E00246,24,Female,Married,62542,Contract,Central,0,2.9,0
E00247,58,Female,Married,54313,Contract,South,0,0.6,0
E00248,50,Female,Single,44114,Contract,East,1,0.9,0
E00249,57,Male,Married,71969,Full-time,East,1,17.7,0
E00250,56,Male,Single,34147,Contract,East,1,0.9,0
E00251,35,Male,Divorced,66085,Part-time,East,1,1.9,1
E00252,57,Male,Married,59396,Part-time,South,1,1.5,0
E00253,18,Male,Married,31003,Part-time,North,1,3.5,0
E00254,28,Male,Married,51108,Full-time,North,0,1.2,0
E00255,45,Female,Married,30188,Full-time,East,1,3.4,1
E00256,42,Female,Single,44781,Full-time,Central,1,9.7,0
E00257,40,Male,Married,54202,Full-time,South,0,0.9,0
E00258,48,Male,Married,34785,Part-time,North,1,1.4,0
E00259,47,Other,Single,20000,Full-time,South,1,1.3,0
E00260,59,Female,Widowed,48083,Full-time,Central,0,1.1,0
E00261,52,Female,Married,53218,Full-time,South,0,0.9,1
E00262,24,Male,Single,44345,Full-time,Central,0,3.0,0
E00263,33,Male,Married,49769,Part-time,Central,0,2.4,0
E00264,43,Male,Married,47305,Part-time,West,0,2.1,0
E00265,19,Male,Married,34734,Full-time,Central,1,4.8,1
E00266,18,Female,Married,79206,Part-time,West,0,0.5,0
E00267,29,Female,Married,54754,Full-time,Central,0,0.6,1
E00268,22,Male,Married,43612,Contract,Central,0,2.2,0
E00269,54,Other,Single,37628,Full-time,South,1,1.3,0
E00270,49,Male,Single,44036,Full-time,West,0,0.6,0
E00271,26,Other,Single,44525,Full-time,North,1,3.5,0
E00272,58,Other,Single,50572,Full-time,North,1,2.1,1
E00273,52,Male,Single,67193,Contract,South,1,0.7,0
E00274,36,Male,Married,37931,Intern,North,1,0.9,0
E00275,33,Female,Married,52665,Contract,North,1,3.9,0
E00276,20,Female,Single,61994,Full-time,Central,1,1.2,0
E00277,37,Female,Single,39892,Full-time,East,1,0.7,1
E00278,41,Other,Single,39806,Part-time,East,1,10.1,0
E00279,50,Female,Single,27363,Full-time,North,1,0.3,0
E00280,41,Male,Single,75218,Contract,South,0,0.5,0
E00281,28,Male,Married,57618,Full-time,South,0,3.8,0
E00282,25,Female,Single,41444,Full-time,West,0,1.7,0
E00283,53,Male,Married,40794,Intern,South,0,4.2,0
E00284,55,Female,Married,34529,Intern,South,1,2.4,1
E00285,57,Male,Single,52356,Contract,Central,0,0.1,1
E00286,37,Male,Single,44867,Full-time,Central,1,3.5,0
E00287,52,Male,Single,36239,Contract,North,0,4.9,1
E00288,42,Female,Single,38423,Full-time,South,0,2.4,0
E00289,52,Male,Single,60885,Full-time,East,1,1.1,1
E00290,42,Female,Married,44278,Full-time,South,0,0.0,1
E00291,46,Female,Single,31579,Contract,South,0,7.1,0
E00292,35,Female,Widowed,50970,Full-time,North,1,3.7,0
E00293,63,Female,Single,39706,Full-time,East,1,0.1,0
E00294,35,Male,Married,59691,Part-time,North,1,5.5,1
E00295,19,Female,Married,72604,Full-time,South,0,0.2,1
E00296,52,Male,Single,20938,Full-time,East,0,3.7,0
E00297,33,Male,Single,39395,Full-time,South,1,3.6,0
E00298,58,Male,Married,52077,Contract,North,1,7.4,0
E00299,53,Female,Divorced,48853,Full-time,North,0,0.5,0
E00300,50,Female,Single,68777,Part-time,Central,0,2.5,0
E00301,21,Female,Single,49710,Full-time,East,1,2.4,0
E00302,50,Female,Single,53065,Full-time,Central,1,0.1,1
E00303,31,Female,Single,56462,Full-time,East,1,3.1,1
E00304,38,Male,Divorced,39787,Full-time,West,1,0.9,1
E00305,37,Female,Married,57727,Full-time,East,1,1.2,0
E00306,25,Male,Single,56083,Full-time,South,0,0.8,0
E00307,24,Other,Single,51547,Part-time,East,1,0.2,0
E00308,20,Female,Single,21233,Contract,Central,0,0.5,1
E00309,34,Female,Married,38584,Contract,North,0,0.7,0
E00310,50,Female,Divorced,52785,Contract,North,1,2.6,1
E00311,29,Male,Single,48573,Part-time,East,1,0.4,1
E00312,39,Female,Married,61234,Full-time,West,1,7.6,0
E00313,39,Male,Divorced,61354,Full-time,North,0,0.8,1
E00314,63,Female,Single,55168,Full-time,North,1,3.2,0
E00315,47,Female,Single,61356,Part-time,North,1,0.5,0
E00316,55,Female,Single,57501,Full-time,West,0,4.8,0
E00317,55,Female,Single,42105,Full-time,Central,0,0.2,0
E00318,62,Male,Single,49912,Full-time,East,0,4.0,1
E00319,25,Male,Widowed,33517,Intern,West,1,1.5,0
E00320,44,Female,Married,72400,Part-time,East,1,1.9,1
E00321,44,Male,Single,31182,Full-time,South,0,1.4,1
E00322,51,Male,Single,20000,Full-time,East,0,1.5,0
E00323,38,Female,Married,81809,Full-time,North,1,0.0,1
E00324,47,Female,Single,48607,Full-time,West,1,0.1,0
E00325,50,Female,Single,63421,Full-time,West,1,4.7,0
E00326,45,Male,Single,60994,Full-time,Central,1,0.7,1
E00327,64,Female,Married,65680,Part-time,South,1,2.8,1
E00328,50,Male,Single,58867,Full-time,Central,0,3.2,0
E00329,22,Female,Single,58960,Intern,Central,0,3.6,0
E00330,36,Male,Married,20000,Full-time,South,0,2.7,1
E00331,21,Female,Single,35545,Contract,North,1,3.0,0
E00332,52,Female,Widowed,20000,Part-time,West,1,2.6,0
E00333,34,Male,Married,37701,Contract,East,0,7.9,0
E00334,61,Female,Single,42004,Part-time,South,0,3.3,0
E00335,45,Female,Single,48251,Full-time,Central,0,1.3,0
E00336,47,Male,Married,35784,Full-time,East,0,1.3,0
E00337,46,Female,Single,44713,Full-time,South,1,0.2,0
E00338,63,Male,Married,42231,Full-time,South,1,14.4,0
E00339,23,Female,Married,55181,Full-time,North,0,6.6,0
E00340,52,Female,Married,61386,Full-time,North,1,0.1,1
E00341,58,Male,Widowed,53213,Full-time,West,0,5.9,0
E00342,54,Female,Single,59454,Full-time,West,1,0.4,1
E00343,41,Male,Married,52862,Contract,East,1,0.8,0
E00344,46,Male,Married,67805,Contract,West,0,3.4,1
E00345,63,Other,Married,77962,Part-time,South,1,3.9,0
E00346,48,Female,Married,20000,Full-time,South,1,2.1,1
E00347,52,Male,Married,66998,Full-time,South,0,10.3,1
E00348,50,Male,Single,30655,Full-time,South,0,2.0,1
E00349,38,Male,Married,52786,Full-time,North,1,0.9,0
E00350,49,Other,Single,53920,Intern,South,1,0.0,0
E00351,40,Male,Married,59126,Full-time,South,1,6.1,0
E00352,50,Male,Single,49235,Full-time,South,0,1.5,0
E00353,20,Female,Single,49926,Part-time,Central,0,4.6,0
E00354,35,Male,Divorced,55150,Full-time,East,1,4.5,0
E00355,42,Male,Single,44807,Intern,East,0,0.1,0
E00356,59,Male,Single,21508,Full-time,South,0,5.2,0
E00357,48,Male,Single,49973,Contract,South,1,1.0,0
E00358,20,Male,Single,38767,Full-time,East,0,5.5,1
E00359,57,Female,Married,37485,Full-time,West,1,2.0,0
E00360,63,Male,Single,36026,Full-time,Central,1,2.7,0
E00361,41,Female,Single,20431,Full-time,Central,1,0.3,1
E00362,49,Female,Single,44004,Full-time,West,0,1.4,1
E00363,64,Female,Single,50011,Contract,South,0,10.6,1
E00364,39,Female,Single,61520,Part-time,East,0,7.8,0
E00365,40,Male,Married,41139,Part-time,Central,0,15.5,1
E00366,19,Male,Single,73662,Full-time,West,1,2.1,0
E00367,44,Male,Single,58756,Full-time,West,0,5.1,0
E00368,59,Male,Divorced,33183,Full-time,North,1,1.8,1
E00369,19,Female,Divorced,42675,Full-time,West,1,8.5,0
E00370,43,Female,Single,80323,Full-time,North,0,12.8,0
E00371,34,Female,Single,61399,Full-time,North,1,6.3,0
E00372,57,Male,Married,42096,Full-time,Central,0,2.9,0
E00373,50,Female,Married,63389,Full-time,South,1,13.5,0
E00374,26,Male,Widowed,31081,Intern,South,0,12.4,0
E00375,60,Female,Single,41709,Full-time,West,1,1.9,0
E00376,56,Male,Married,20000,Full-time,East,1,1.1,1
E00377,46,Female,Divorced,59055,Part-time,East,1,0.6,1
E00378,59,Male,Married,32516,Part-time,North,0,3.4,0
E00379,43,Female,Single,48791,Intern,West,1,0.1,0
E00380,52,Female,Single,26803,Full-time,West,1,4.3,1
E00381,42,Female,Single,53006,Full-time,South,1,0.2,0
E00382,41,Male,Single,48887,Contract,East,1,0.9,1
E00383,30,Female,Married,27892,Intern,Central,0,2.1,0
E00384,24,Female,Single,42839,Contract,West,0,0.3,1
E00385,53,Male,Single,51997,Contract,West,0,0.1,0
E00386,62,Male,Divorced,56677,Full-time,South,0,2.0,1
E00387,37,Male,Married,73749,Contract,Central,0,6.5,0
E00388,18,Male,Single,68268,Intern,Central,1,1.6,0
E00389,25,Female,Single,39574,Full-time,Central,0,0.7,0
E00390,63,Other,Single,39391,Part-time,Central,0,1.6,1
E00391,33,Male,Single,28540,Part-time,East,0,3.8,0
E00392,31,Female,Married,34853,Full-time,North,1,0.1,0
E00393,29,Other,Single,62902,Full-time,Central,0,0.1,1
E00394,40,Male,Married,26163,Contract,North,0,1.9,0
E00395,32,Female,Single,47676,Full-time,North,1,3.4,0
E00396,45,Female,Divorced,45476,Full-time,South,1,2.9,0
E00397,51,Female,Married,38632,Full-time,Central,0,3.0,0
E00398,19,Male,Divorced,30465,Full-time,East,0,0.5,1
E00399,49,Female,Single,21584,Part-time,South,0,2.3,0
E00400,40,Male,Married,30600,Full-time,South,1,1.4,0
E00401,39,Female,Divorced,48753,Full-time,North,0,0.4,0
E00402,42,Male,Married,58964,Contract,West,1,0.4,0
E00403,39,Female,Single,74178,Intern,East,0,3.1,0
E00404,39,Male,Single,55017,Full-time,Central,0,9.5,0
E00405,59,Male,Single,58891,Part-time,Central,0,0.3,1
E00406,23,Female,Single,74123,Full-time,East,1,2.0,1
E00407,32,Male,Married,55074,Full-time,Central,0,0.9,0
E00408,60,Female,Married,64746,Full-time,West,0,1.0,0
E00409,54,Other,Married,44306,Full-time,West,0,0.8,0
E00410,50,Female,Single,60818,Full-time,Central,1,2.4,1
E00411,25,Male,Single,53149,Full-time,South,0,0.2,0
E00412,61,Female,Single,46372,Full-time,Central,0,4.1,0
E00413,61,Female,Married,73208,Part-time,Central,0,2.8,0
E00414,22,Female,Married,31953,Full-time,East,0,1.5,1
E00415,56,Male,Single,37101,Full-time,West,1,0.7,1
E00416,21,Female,Married,67664,Full-time,South,0,2.3,0
E00417,23,Female,Married,64567,Full-time,East,1,9.3,0
E00418,62,Male,Divorced,50190,Full-time,East,0,3.7,1
E00419,49,Male,Single,55095,Full-time,South,1,1.0,0
E00420,47,Male,Married,57760,Contract,South,0,4.1,0
E00421,64,Female,Single,55475,Part-time,East,0,2.1,0
E00422,52,Female,Single,53617,Part-time,Central,1,0.1,0
E00423,57,Female,Married,37392,Full-time,South,1,2.9,0
E00424,33,Male,Married,68573,Contract,North,0,0.8,0
E00425,30,Male,Single,46939,Full-time,South,1,1.6,0
E00426,59,Other,Single,35141,Full-time,East,1,2.0,1
E00427,47,Other,Married,52011,Contract,North,0,4.8,0
E00428,36,Female,Single,55148,Full-time,East,0,2.6,0
E00429,34,Female,Married,55930,Intern,West,1,1.2,0
E00430,36,Male,Married,64591,Full-time,West,0,3.2,0
E00431,45,Female,Married,44302,Full-time,Central,1,0.6,0
E00432,43,Male,Married,49022,Contract,South,0,5.2,0
E00433,54,Male,Married,37340,Full-time,East,1,0.7,0
E00434,43,Female,Married,53505,Full-time,North,1,2.5,0
E00435,40,Male,Married,37120,Full-time,South,1,0.7,0
E00436,26,Male,Single,41151,Part-time,Central,1,1.2,0
E00437,29,Male,Single,64751,Full-time,East,1,1.6,0
E00438,18,Male,Widowed,52047,Part-time,East,0,1.4,0
E00439,18,Female,Single,71368,Part-time,West,0,8.1,0
E00440,64,Male,Married,67650,Full-time,Central,0,0.8,1
E00441,51,Male,Married,53236,Part-time,East,1,0.6,1
E00442,49,Male,Married,55305,Intern,West,0,2.2,0
E00443,42,Male,Single,46422,Intern,West,1,8.9,1
E00444,57,Male,Single,65658,Full-time,North,0,2.1,0
E00445,62,Female,Single,55446,Part-time,Central,0,9.6,0
E00446,18,Male,Single,63643,Contract,Central,0,0.6,0
E00447,33,Female,Widowed,40297,Contract,East,1,0.0,1
E00448,56,Other,Married,29583,Full-time,North,1,1.1,1
E00449,22,Female,Married,57533,Full-time,South,0,3.0,1
E00450,39,Male,Married,60541,Full-time,East,0,2.7,1
E00451,46,Male,Single,51127,Full-time,West,0,0.8,0
E00452,20,Female,Single,58679,Full-time,South,1,3.3,0
E00453,29,Female,Single,37220,Part-time,South,0,5.3,0
E00454,43,Female,Married,64089,Full-time,East,1,3.5,0
E00455,33,Female,Married,67575,Contract,North,0,3.9,1
E00456,54,Female,Married,65310,Full-time,Central,1,1.1,1
E00457,39,Female,Married,51859,Full-time,North,1,2.3,1
E00458,46,Female,Widowed,67797,Full-time,East,0,0.1,0
E00459,31,Male,Single,32856,Part-time,Central,0,1.3,0
